week,week_start,business,intent,title_zh,title_en
15,2026-11-09,TRADE·国际贸易争议,C,客户收到货后拒不付款，怎么证明对方违约？,Non-Payment After Delivery: Proving Breach in Cross-Border Sales
16,2026-11-16,RECOVERY·诉讼与债务追收,C,伪造公章、伪造签名的合同效力问题,Forged Seals and Signatures: Contract Validity
16,2026-11-16,LEGACY·继承与家族资产,C,创始人去世，公司股权由谁接管？,Founder Dies: Succession of Company Control
16,2026-11-16,TRADE·国际贸易争议,C,中东贸易纠纷：仲裁还是诉讼？（迪拜/沙特）,Disputes in the Middle East: Arbitration vs Litigation
16,2026-11-16,RECOVERY·诉讼与债务追收,I,申请破产清算 vs 追收：债权人如何选择？,Bankruptcy vs Collection: Creditor's Choice
17,2026-11-23,TRADE·国际贸易争议,I,国际贸易诈骗的10种常见套路（货代诈骗/钓鱼邮件）,10 Common International Trade Scams and How to Spot Them
17,2026-11-23,RECOVERY·诉讼与债务追收,C,跨境电商欺诈：拒收、拒付与恶意退款,"E-Commerce Fraud: Chargebacks, Refusals and Abuse"
17,2026-11-23,LEGACY·继承与家族资产,I,无人继承的遗产如何处理？,Unclaimed Estates: When No Heir Steps Forward
17,2026-11-23,TRADE·国际贸易争议,C,出口信用保险理赔被拒，如何与保险公司博弈,Export Credit Insurance Claim Denied? How to Fight Back
18,2026-11-30,RECOVERY·诉讼与债务追收,T,小额欠款（5万以下）如何低成本追收？,Low-Cost Collection for Small Debts
18,2026-11-30,TRADE·国际贸易争议,I,客户拖延付款的5个常见借口与法律应对,Common Excuses for Late Payment and Legal Responses
18,2026-11-30,LEGACY·继承与家族资产,C,失联继承人的查找与公告程序,Locating Missing Heirs: Search and Notice Procedures
18,2026-11-30,RECOVERY·诉讼与债务追收,I,追债公司 vs 律师：为什么建议选择律师,Collection Agencies vs Lawyers: Why Legal Counsel Wins
19,2026-12-07,TRADE·国际贸易争议,C,与俄罗斯/独联体客户交易的合同与收款风险,Trading with Russia & CIS: Contract and Payment Risks
19,2026-12-07,RECOVERY·诉讼与债务追收,I,法院诉讼与商事仲裁的费用与周期对比,Cost and Timeline: Court Litigation vs Arbitration
19,2026-12-07,LEGACY·继承与家族资产,I,遗嘱认证（Probate）是什么？海外继承必懂,What Is Probate? A Guide for Cross-Border Heirs
19,2026-12-07,TRADE·国际贸易争议,C,货物滞留海关被销毁，损失谁承担？,Goods Held or Destroyed by Customs: Who Bears the Loss?
20,2026-12-14,RECOVERY·诉讼与债务追收,I,如何用公开渠道做海外背景调查？,Open-Source Intelligence (OSINT) for Debtor Checks
20,2026-12-14,LEGACY·继承与家族资产,C,股权继承中的其他股东优先购买权,Right of First Refusal: Co-Shareholders in Inheritance
20,2026-12-14,TRADE·国际贸易争议,C,无单放货（提单被冒领），如何向承运人索赔？,Delivery Without Bill of Lading: Carrier Liability
20,2026-12-14,RECOVERY·诉讼与债务追收,C,出口企业应收账款管理：从源头减少坏账,Receivables Management for Exporters: Preventing Bad Debt
21,2026-12-21,RECOVERY·诉讼与债务追收,I,海外欠款的诉讼时效：各国规定一览,Statute of Limitations for Debt Collection by Country
21,2026-12-21,TRADE·国际贸易争议,C,订单取消或变更：合同处理与索赔要点,Order Cancellations & Change Orders: Contract Remedies
21,2026-12-21,LEGACY·继承与家族资产,T,遗产被他人侵占、挪用如何追回？,Estate Assets Misappropriated: Recovery Claims
21,2026-12-21,RECOVERY·诉讼与债务追收,I,欺诈案件：刑事报案与民事追偿如何并行？,Parallel Proceedings: Criminal Complaints and Civil Claims
22,2026-12-28,TRADE·国际贸易争议,C,供应商把订单转包给第三方出了问题谁负责？,Supplier Outsources Your Order: Who Is Liable?
22,2026-12-28,LEGACY·继承与家族资产,C,遗嘱信托：给未成年子女的资产保护,Testamentary Trusts: Protecting Assets for Minors
22,2026-12-28,RECOVERY·诉讼与债务追收,C,国际工程款追收的实务路径,International Construction Payment Disputes: Recovery Strategies
22,2026-12-28,TRADE·国际贸易争议,C,独家经销协议中的最低采购量与区域限制条款,Minimum Purchase & Territorial Restrictions in Distribution
23,2027-01-04,LEGACY·继承与家族资产,I,跨境继承中的继承人顺序差异（中国 vs 普通法）,Intestacy Rules Compared: China vs Common Law
23,2027-01-04,TRADE·国际贸易争议,C,香港公司作为中间商的合同风险与追收,Hong Kong Trading Companies: Contract and Collection Risks
23,2027-01-04,RECOVERY·诉讼与债务追收,I,诉讼保险（Legal Expense Insurance）实务,Legal Expense Insurance: What It Covers
23,2027-01-04,LEGACY·继承与家族资产,I,生前安排：赠与、保险与信托的传承对比,Lifetime Gifting vs Insurance vs Trusts: A Comparison
24,2027-01-11,TRADE·国际贸易争议,I,电子合同与电子邮件往来的证据效力,Are Emails and E-Signatures Enforceable in Trade Disputes?
24,2027-01-11,RECOVERY·诉讼与债务追收,I,海外执行中，律师费能让债务人承担吗？,Can the Debtor Pay Your Legal Costs? Cost-Shifting
24,2027-01-11,LEGACY·继承与家族资产,I,继子女、非婚生子女的继承权利,Inheritance Rights of Stepchildren and Non-Marital Children
24,2027-01-11,TRADE·国际贸易争议,C,终止经销协议需要了解的当地法律（美国/欧盟/中东）,Terminating Distribution Agreements: Local Law Risks
25,2027-01-18,RECOVERY·诉讼与债务追收,I,私家侦探 vs 律师调查：合法性与证据效力,Private Investigators vs Lawyers: Admissibility
25,2027-01-18,LEGACY·继承与家族资产,C,家族企业传承规划：如何避免下一代内斗？,Family Business Succession: Avoiding Sibling Wars
25,2027-01-18,TRADE·国际贸易争议,I,新加坡商事争议解决：诉讼、仲裁与调解,Commercial Disputes in Singapore: Options Compared
25,2027-01-18,RECOVERY·诉讼与债务追收,I,跨境案件的证据开示（Discovery）与保密义务,Cross-Border Discovery and Confidentiality
26,2027-01-25,LEGACY·继承与家族资产,C,兄弟姐妹反目：遗产分割的诉讼策略,Sibling Feuds: Litigating Estate Division
26,2027-01-25,TRADE·国际贸易争议,I,货损货差索赔：P&I保赔与货主保险实务,Cargo Damage Claims: P&I Clubs and Cargo Insurance
26,2027-01-25,RECOVERY·诉讼与债务追收,C,判决前的财产保全：各国冻结令实务,Pre-Judgment Attachments: Country-by-Country Guide
26,2027-01-25,LEGACY·继承与家族资产,T,海外房产被他人擅自出售怎么办？,Property Sold Without Authorization: Recovery Steps
27,2027-02-01,LEGACY·继承与家族资产,C,跨国家庭的遗产税规划（美国/英国/加拿大）,Estate Tax Planning for Cross-Border Families
27,2027-02-01,TRADE·国际贸易争议,T,验货不合格但货已上船，如何止损？,"Failed Inspection, Goods Shipped: How to Cut Losses"
27,2027-02-01,LEGACY·继承与家族资产,I,公证遗嘱 vs 自书遗嘱：哪种更保险？,Notarized vs Holographic Wills: Which Is Safer?
28,2027-02-08,LEGACY·继承与家族资产,C,跨境继承要交哪些税？（遗产税/赠与税/资本利得）,"Taxes on Cross-Border Inheritance: Estate, Gift, Gains"
28,2027-02-08,TRADE·国际贸易争议,I,跨境交易中的文化差异与谈判策略,Cultural Differences in Cross-Border Negotiation
28,2027-02-08,RECOVERY·诉讼与债务追收,C,澳大利亚/新西兰债务追收实务,Debt Recovery in Australia and New Zealand
28,2027-02-08,LEGACY·继承与家族资产,C,再婚家庭的继承安排与法律保护,Blended Families: Inheritance Planning and Protections
29,2027-02-15,TRADE·国际贸易争议,I,供应商跑路前的6个预警信号,6 Warning Signs Your Supplier Is About to Disappear
29,2027-02-15,RECOVERY·诉讼与债务追收,C,美国小企业欠款追收：州法院路径,Collecting from US Small Businesses: State Court Paths
29,2027-02-15,LEGACY·继承与家族资产,T,美国遗产税对非居民外国人的影响,US Estate Tax for Non-Resident Aliens: What to Know
29,2027-02-15,TRADE·国际贸易争议,C,采购合同中的质量保证条款与索赔时效,Warranty Clauses and Limitation Periods in Purchase Contracts
30,2027-02-22,RECOVERY·诉讼与债务追收,C,执行和解：以物抵债与债务重组的法律操作,Enforcement Settlements: Asset-for-Debt Restructuring
30,2027-02-22,LEGACY·继承与家族资产,C,房产代持与继承：代持人去世后的产权归属,Nominee Holdings: Who Owns the Property After Death
30,2027-02-22,TRADE·国际贸易争议,I,海关查验产生的费用与延误，能向谁索赔？,Customs Inspection Delays: Who Pays?
30,2027-02-22,RECOVERY·诉讼与债务追收,C,公司高管挪用资金、关联交易侵占：股东如何追责？,Executive Misappropriation: Shareholder Remedies
31,2027-03-01,TRADE·国际贸易争议,I,尼日利亚/中东「国家采购骗局」识别指南,Government Procurement Scams: Red Flags
31,2027-03-01,LEGACY·继承与家族资产,I,海外信托在家族传承中的作用,Trusts in Family Wealth Transfer: Benefits and Risks
31,2027-03-01,TRADE·国际贸易争议,I,非洲市场：信用证结算与信用证诈骗防范,African Markets: LC Settlement and Fraud Prevention
31,2027-03-01,RECOVERY·诉讼与债务追收,T,如何设计「对我方有利」的争议解决条款？,Drafting Dispute Resolution Clauses in Your Favor
32,2027-03-08,LEGACY·继承与家族资产,I,遗产管理人/遗嘱执行人的职责与选择,Choosing an Executor or Estate Administrator
32,2027-03-08,TRADE·国际贸易争议,C,如何调查海外公司的真实背景与资信？,How to Verify an Overseas Company's Credibility
32,2027-03-08,RECOVERY·诉讼与债务追收,T,追收案件的证据准备清单：从合同到聊天记录,Evidence Checklist for Collection Cases
32,2027-03-08,LEGACY·继承与家族资产,I,遗产房还有抵押贷款：继承还是放弃？,Inheriting Mortgaged Property: Accept or Renounce?
33,2027-03-15,TRADE·国际贸易争议,I,佣金纠纷：海外中介与业务员讨要佣金怎么办,Commission Disputes with Overseas Sales Agents
33,2027-03-15,LEGACY·继承与家族资产,C,多位继承人共同继承房产：如何分割与出售？,Co-Inheriting Property: Partition and Sale Options
33,2027-03-15,RECOVERY·诉讼与债务追收,I,跨境诉讼中证人证言的取证规则,Taking Evidence Across Borders: Witness Testimony Rules
33,2027-03-15,TRADE·国际贸易争议,C,客户伪造提单、质检报告，如何识别与追责？,Forged Trade Documents: Detection and Liability
34,2027-03-22,LEGACY·继承与家族资产,I,加拿大/英国/澳洲的遗产税与继承税简介,"Inheritance Taxes in Canada, UK and Australia"
34,2027-03-22,TRADE·国际贸易争议,C,信用证（L/C）结算被拒付，出口商如何维权？,Letter of Credit Dishonor: Legal Remedies for Exporters
34,2027-03-22,RECOVERY·诉讼与债务追收,C,中东地区执行判决的现实与替代方案,Enforcing Judgments in the Middle East: Realities
34,2027-03-22,LEGACY·继承与家族资产,C,跨境继承需要公证哪些文件？,Notarization and Apostille for Cross-Border Inheritance
35,2027-03-29,LEGACY·继承与家族资产,C,移民身份变化对遗产规划的影响,Immigration Status and Estate Planning: Key Interactions
35,2027-03-29,TRADE·国际贸易争议,C,违约金条款怎么约定，才能在外国法院站得住？,Drafting Penalty Clauses That Survive Foreign Courts
35,2027-03-29,LEGACY·继承与家族资产,C,股权代持与继承纠纷,Inheriting Beneficially-Owned (Nominee) Shares
35,2027-03-29,RECOVERY·诉讼与债务追收,T,海外项目被骗的止损：证据保全与资金追踪,Stopping the Bleeding: Freezing Funds After Fraud
36,2027-04-05,LEGACY·继承与家族资产,I,继承纠纷的诉讼时效与主张期限,Time Limits for Contesting Estates: Don't Miss the Deadline
36,2027-04-05,RECOVERY·诉讼与债务追收,I,为什么聪明人也会被骗：受害者的决策陷阱,Avoiding Scam Psychology: Decision Traps for Victims
36,2027-04-05,TRADE·国际贸易争议,I,经销商欠款，能否追索其母公司？,Piercing the Corporate Veil: Chasing the Parent Company
37,2027-04-12,LEGACY·继承与家族资产,I,企业经营贷款与遗产债务的清偿顺序,Estate Debts: Business Loans and Creditor Claims
37,2027-04-12,TRADE·国际贸易争议,C,危险品出口被查扣的法律应对,Dangerous Goods Seizure: Legal Response for Exporters
37,2027-04-12,LEGACY·继承与家族资产,C,遗嘱受益人之间的纠纷如何解决？,Beneficiary Disputes: Resolving Claims to the Estate
38,2027-04-19,RECOVERY·诉讼与债务追收,I,第三方资助（Third-Party Funding）能否用于你的案件？,Third-Party Funding: Financing Your Claim
38,2027-04-19,LEGACY·继承与家族资产,T,外汇管制下如何合法转移继承款？,Transferring Inherited Funds Across Borders: Compliance
38,2027-04-19,LEGACY·继承与家族资产,C,继承款汇回中国：税务申报与合规,Reporting Inherited Funds in China: Tax Compliance
39,2027-04-26,LEGACY·继承与家族资产,C,海外资产未申报的后果与补救（CRS/FATCA）,"Undeclared Overseas Assets: CRS, FATCA and Remedies"
40,2027-05-03,LEGACY·继承与家族资产,C,高净值家庭的全球资产传承架构,Global Estate Structures for High-Net-Worth Families
